iteration,date,direction,entry_price,exit_price,stop_loss,position_size,pnl,duration_hours,balance,signal,exit_reason,is_partial,entry_rsi_14,exit_rsi_14,entry_macd_histogram,exit_macd_histogram,ensemble_score,market_phase,trend_strength
18,2024-07-23 19:30:00,short,65807.99,65542.31,67836.4,0.010872,2.17,0.5,7409.85,StrongSell,PartialExit_12pct,True,42.85,38.53,-46.028797,-60.22369,1.0,downtrend,0.43
18,2024-07-24 01:30:00,short,65807.99,65674.34,67836.4,0.079725,5.41,6.5,7415.26,StrongSell,MomentumBasedExit,False,42.85,45.52,-46.028797,34.362607,1.0,downtrend,0.43
17,2024-07-26 16:30:00,short,67230.41,67392.53,68202.23,0.088247,-20.25,6.5,7395.01,StrongSell,MaxDurationReached_neutral,False,60.6,52.18,-34.249952,-47.854718,1.0,uptrend,0.56
18,2024-07-26 16:30:00,short,67230.41,67392.53,67985.42,0.088784,-20.37,6.5,7374.64,StrongSell,MaxDurationReached_neutral,False,60.6,52.18,-34.249952,-47.854718,1.0,uptrend,0.56
17,2024-07-27 01:30:00,short,67888.32,67660.61,69457.07,0.055287,8.84,3.5,7383.48,StrongSell,QuickProfitTaken,False,57.12,52.35,-1.082336,-47.218011,0.94,ranging_at_support,0.58
18,2024-07-27 01:30:00,short,67888.32,67660.61,69097.7,0.087648,14.02,3.5,7397.5,StrongSell,QuickProfitTaken,False,57.12,52.35,-1.082336,-47.218011,1.0,ranging_at_support,0.58
17,2024-07-27 10:30:00,short,67740.9,68149.67,68607.9,0.087427,-41.68,6.5,7355.82,StrongSell,MaxDurationReached_neutral,False,45.34,64.65,-39.53397,0.362336,0.99,ranging_at_support,0.48
18,2024-07-27 10:30:00,short,67740.9,68149.67,68607.9,0.088029,-41.97,6.5,7313.85,StrongSell,MaxDurationReached_neutral,False,45.34,64.65,-39.53397,0.362336,1.0,ranging_at_support,0.48
18,2024-07-27 23:30:00,short,68179.38,67900.54,69729.22,0.086897,18.32,3.5,7332.16,StrongSell,QuickProfitTaken,False,28.71,41.8,-146.057766,-65.951949,1.0,ranging_at_resistance,0.37
17,2024-07-28 04:30:00,short,67886.25,67345.23,72969.31,0.025666,12.15,4.0,7344.31,StrongSell,QuickProfitTaken,False,43.8,15.99,-83.105473,-75.977111,0.74,ranging_at_support,0.4
17,2024-07-29 14:00:00,short,69613.21,68819.02,70588.33,0.012703,9.21,0.5,7353.52,StrongSell,PartialExit_15pct,True,40.63,32.09,-68.208145,-114.67625,0.99,ranging_at_support,0.53
18,2024-07-29 14:00:00,short,69613.21,68819.02,70588.33,0.012802,9.28,0.5,7362.8,StrongSell,PartialExit_15pct,True,40.63,32.09,-68.208145,-114.67625,1.0,ranging_at_support,0.53
17,2024-07-29 15:00:00,short,69613.21,67939.61,70588.33,0.071983,115.52,1.5,7478.32,StrongSell,QuickProfitTaken,False,40.63,21.09,-68.208145,-228.08603,0.99,ranging_at_support,0.53
18,2024-07-29 15:00:00,short,69613.21,67939.61,70588.33,0.072547,116.42,1.5,7594.74,StrongSell,QuickProfitTaken,False,40.63,21.09,-68.208145,-228.08603,1.0,ranging_at_support,0.53
17,2024-07-30 12:00:00,short,66425.1,66258.97,68146.73,0.090478,9.03,6.0,7603.77,StrongSell,QuickProfitTaken,False,45.31,42.37,78.748071,12.124184,0.84,ranging_at_support,0.45
18,2024-07-30 12:00:00,short,66425.1,66258.97,68146.73,0.091186,9.1,6.0,7612.87,StrongSell,QuickProfitTaken,False,45.31,42.37,78.748071,12.124184,1.0,ranging_at_support,0.45
17,2024-07-30 14:00:00,short,66583.15,66137.34,67309.56,0.013558,5.14,0.5,7618.01,StrongSell,PartialExit_15pct,True,39.53,29.06,17.335832,-5.453376,1.0,ranging_at_support,0.75
18,2024-07-30 14:00:00,short,66583.15,66137.34,67174.72,0.013664,5.18,0.5,7623.19,StrongSell,PartialExit_15pct,True,39.53,29.06,17.335832,-5.453376,1.0,ranging_at_resistance,0.75
17,2024-07-30 15:00:00,short,66583.15,66224.31,67309.56,0.07683,22.47,1.5,7645.66,StrongSell,QuickProfitTaken,False,39.53,38.22,17.335832,-29.555509,1.0,ranging_at_support,0.75
18,2024-07-30 15:00:00,short,66583.15,66224.31,67174.72,0.077431,22.64,1.5,7668.3,StrongSell,QuickProfitTaken,False,39.53,38.22,17.335832,-29.555509,1.0,ranging_at_resistance,0.75
17,2024-07-30 17:30:00,short,66122.22,65866.13,67128.13,0.010968,2.08,0.5,7670.39,StrongSell,PartialExit_12pct,True,36.2,36.69,-19.123414,-27.194908,1.0,ranging_at_resistance,0.75
18,2024-07-30 17:30:00,short,66122.22,65866.13,67128.13,0.011054,2.1,0.5,7672.49,StrongSell,PartialExit_12pct,True,36.2,36.69,-19.123414,-27.194908,1.0,ranging_at_resistance,0.75
17,2024-07-30 18:30:00,short,66122.22,65825.57,67128.13,0.080434,18.55,1.5,7691.04,StrongSell,QuickProfitTaken,False,36.2,36.95,-19.123414,-25.243977,1.0,ranging_at_resistance,0.75
18,2024-07-30 18:30:00,short,66122.22,65825.57,67128.13,0.081064,18.7,1.5,7709.74,StrongSell,QuickProfitTaken,False,36.2,36.95,-19.123414,-25.243977,1.0,ranging_at_resistance,0.75
17,2024-07-31 03:30:00,short,65926.53,66055.09,67151.91,0.091961,-17.89,7.0,7691.84,StrongSell,MaxDurationReached_neutral,False,45.73,45.05,22.14039,12.183121,0.87,downtrend,0.53
18,2024-07-31 03:30:00,short,65926.53,66055.09,67151.91,0.092681,-18.03,7.0,7673.81,StrongSell,MaxDurationReached_neutral,False,45.73,45.05,22.14039,12.183121,1.0,downtrend,0.53
17,2024-07-31 18:30:00,short,66038.38,66522.2,66910.06,0.091556,-50.37,6.5,7623.44,StrongSell,MaxDurationReached_neutral,False,61.39,58.35,-11.699409,14.281389,0.98,ranging_at_support,0.3
18,2024-07-31 18:30:00,short,66038.38,66522.2,66910.06,0.092273,-50.76,6.5,7572.68,StrongSell,MaxDurationReached_neutral,False,61.39,58.35,-11.699409,14.281389,1.0,ranging_at_support,0.3
18,2024-08-02 13:30:00,short,64416.32,65235.78,66935.0,0.066319,-58.65,6.0,7514.03,StrongSell,MaxDurationReached_neutral,False,38.94,66.78,-55.733514,58.885255,1.0,ranging_at_support,0.75
19,2024-08-02 23:00:00,short,61939.37,61761.19,66285.34,0.006137,0.71,0.5,7514.75,StrongSell,PartialExit_12pct,True,19.45,29.96,-139.979577,-116.242837,1.0,downtrend,0.3
18,2024-08-02 23:30:00,short,61939.37,61508.29,67580.96,0.002339,0.86,1.0,7515.61,StrongSell,PartialExit_12pct,True,19.45,23.25,-139.979577,-106.501685,1.0,downtrend,0.3
18,2024-08-03 00:00:00,short,61939.37,61558.45,67580.96,0.017155,5.47,1.5,7521.08,StrongSell,QuickProfitTaken,False,19.45,24.8,-139.979577,-86.719122,1.0,downtrend,0.3
