iteration,date,direction,entry_price,exit_price,stop_loss,position_size,pnl,balance,signal,exit_reason,is_partial,entry_rsi_14,exit_rsi_14,entry_macd_histogram,exit_macd_histogram,ensemble_score,market_phase,trend_strength,duration_hours
13,2025-01-27 13:00:00,short,99014.5,99582.24,99540.63,0.124239,-81.08,12264.82,StrongSell,StopLoss,False,65.69,65.51,0.0,0.0,0.66,weak_downtrend,0.5,0.5
13,2025-01-27 16:00:00,short,101572.59,100811.91,102034.98,0.120312,81.11,12345.92,StrongSell,ProfitTarget,False,60.73,55.17,0.0,0.0,0.66,neutral,0.5,0.5
13,2025-01-27 17:00:00,short,100748.39,99560.77,101184.84,0.122101,134.55,12480.47,StrongSell,ProfitTarget,False,53.95,51.43,0.0,0.0,0.66,neutral,0.5,0.5
13,2025-01-27 19:30:00,short,99622.82,99686.91,99957.71,0.124831,-18.64,12461.83,Sell,EndOfTest,False,42.23,42.23,0.0,0.0,0.52,strong_uptrend,0.5,0.0
14,2025-01-29 13:00:00,long,102760.18,102049.79,102092.47,0.120839,-96.43,12365.41,Buy,StopLoss,False,62.07,52.1,0.0,0.0,0.69,strong_uptrend,0.5,5.0
14,2025-01-29 18:00:00,long,101815.82,102512.48,101004.48,0.121013,73.74,12439.14,StrongBuy,QuickProfit,False,63.19,66.98,0.0,0.0,0.78,strong_uptrend,0.43,4.0
14,2025-01-29 19:00:00,long,102564.26,101490.3,101527.75,0.120848,-140.33,12298.81,StrongBuy,StopLoss,False,67.03,64.44,0.0,0.0,0.86,strong_uptrend,0.91,0.5
14,2025-01-29 20:00:00,long,101536.68,104298.29,100547.01,0.120689,322.68,12621.49,StrongBuy,ProfitTarget,False,57.25,70.12,0.0,0.0,0.86,strong_uptrend,0.98,0.5
14,2025-01-30 02:00:00,long,104360.66,104304.04,103408.51,0.120515,-17.58,12603.92,Buy,StagnantExit,False,73.54,70.59,0.0,0.0,0.69,strong_uptrend,0.5,5.5
14,2025-01-30 11:30:00,long,105375.27,105225.91,104361.76,0.119188,-28.53,12575.38,StrongBuy,StagnantExit,False,21.07,58.48,0.0,0.0,0.74,ranging,1.0,5.5
14,2025-01-30 20:30:00,short,105481.41,104864.09,106742.77,0.118798,62.65,12638.03,StrongSell,QuickProfitTaken,False,62.98,45.3,0.0,0.0,0.67,uptrend,0.5,4.5
14,2025-01-31 06:00:00,long,104715.37,104472.2,103724.3,0.120265,-40.0,12598.03,Buy,StagnantExit,False,59.59,32.13,0.0,0.0,0.6,weak_uptrend,0.5,6.0
14,2025-01-31 12:00:00,long,104528.28,104641.33,103776.66,0.120098,2.84,12600.87,StrongBuy,StagnantExit,False,35.0,35.35,0.0,0.0,0.74,strong_uptrend,0.65,5.5
14,2025-01-31 18:30:00,short,104643.42,102627.39,105574.82,0.119993,231.27,12832.13,StrongSell,ProfitTarget,False,30.22,36.28,0.0,0.0,0.67,neutral,0.5,4.0
14,2025-01-31 20:30:00,long,102638.4,101790.83,101833.4,0.12459,-116.49,12715.64,Buy,StopLoss,False,36.91,36.18,0.0,0.0,0.55,ranging,0.5,1.5
14,2025-01-31 22:00:00,long,101684.09,102279.89,100988.69,0.124614,63.38,12779.02,StrongBuy,ProfitTarget,False,47.74,46.69,0.0,0.0,0.67,weak_downtrend,0.5,1.0
14,2025-02-01 04:30:00,long,102249.59,102243.9,101630.69,0.124544,-11.6,12767.42,StrongBuy,StagnantExit,False,53.59,78.82,0.0,0.0,0.67,weak_downtrend,0.5,5.5
14,2025-02-03 07:30:00,long,94199.64,95247.94,93728.4,0.135064,130.65,12898.07,StrongBuy,ProfitTarget,False,50.62,50.66,0.0,0.0,0.75,strong_uptrend,0.63,1.5
14,2025-02-03 12:30:00,long,95299.42,94893.53,94929.94,0.134877,-65.71,12832.36,StrongBuy,StopLoss,False,43.73,51.77,0.0,0.0,0.86,strong_uptrend,0.47,4.5
14,2025-02-03 14:30:00,long,94765.1,96514.62,94444.67,0.134944,225.06,13057.41,StrongBuy,ProfitTarget,False,58.53,63.85,0.0,0.0,0.67,neutral,0.5,1.5
14,2025-02-03 15:30:00,long,96568.14,98778.9,96151.28,0.134755,286.66,13344.08,StrongBuy,ProfitTarget,False,77.57,81.75,0.0,0.0,0.76,ranging,0.34,0.5
14,2025-02-03 18:30:00,long,98831.66,99748.83,98241.56,0.134569,112.0,13456.08,StrongBuy,RSIExtreme,False,78.22,75.28,0.0,0.0,0.86,strong_uptrend,0.59,2.5
14,2025-02-03 20:30:00,long,101861.61,101067.33,101105.8,0.131665,-116.01,13340.07,StrongBuy,StopLoss,False,61.4,58.25,0.0,0.0,0.86,strong_uptrend,0.88,0.5
14,2025-02-03 21:30:00,long,101064.12,101717.15,100277.97,0.131557,74.51,13414.58,StrongBuy,ProfitTarget,False,58.09,60.12,0.0,0.0,0.78,strong_uptrend,0.76,0.5
14,2025-02-04 02:30:00,long,101514.08,100886.56,100924.83,0.131707,-94.05,13320.53,StrongBuy,StopLoss,False,42.09,47.01,0.0,0.0,0.73,strong_uptrend,0.6,3.0
14,2025-02-04 07:30:00,long,98853.87,98408.3,98449.45,0.1343,-71.17,13249.36,StrongBuy,StopLoss,False,28.92,34.15,0.0,0.0,0.67,weak_uptrend,0.5,1.5
14,2025-02-04 11:00:00,long,98618.73,99253.43,98161.31,0.033475,18.26,13267.62,StrongBuy,PartialExit_25pct,True,31.49,53.58,0.0,0.0,0.71,ranging,0.74,2.5
14,2025-02-04 12:30:00,long,98618.73,99302.6,98161.31,0.100424,60.18,13327.8,StrongBuy,QuickProfit,False,31.49,71.18,0.0,0.0,0.71,ranging,0.74,4.0
14,2025-02-04 14:30:00,long,99361.69,99916.31,98901.49,0.133503,62.67,13390.47,Buy,ProfitTarget,False,65.59,66.24,0.0,0.0,0.66,strong_uptrend,0.5,1.5
14,2025-02-04 15:30:00,long,99979.23,99311.25,99352.78,0.133306,-100.41,13290.07,Buy,StopLoss,False,60.73,47.09,0.0,0.0,0.64,strong_uptrend,0.5,0.5
14,2025-02-04 19:00:00,long,99346.25,100345.5,98536.8,0.133144,121.68,13411.75,StrongBuy,ProfitTarget,False,53.61,58.93,0.0,0.0,0.67,neutral,0.5,3.0
14,2025-02-04 20:00:00,short,100336.07,98253.43,101687.73,0.133044,265.78,13677.53,StrongSell,ProfitTarget,False,61.11,59.76,0.0,0.0,0.67,weak_uptrend,0.5,0.5
14,2025-02-05 08:00:00,long,98242.92,97731.49,97337.26,0.138583,-82.49,13595.04,StrongBuy,StagnantExit,False,47.59,32.14,0.0,0.0,0.83,strong_uptrend,0.54,7.0
14,2025-02-05 12:00:00,long,97790.79,98473.7,97234.74,0.138381,82.89,13677.93,StrongBuy,QuickProfit,False,33.54,43.11,0.0,0.0,0.67,weak_downtrend,0.5,3.5
14,2025-02-05 16:00:00,long,98535.46,97820.39,97861.3,0.138176,-110.41,13567.52,StrongBuy,StopLoss,False,37.14,50.84,0.0,0.0,0.67,neutral,0.5,3.5
14,2025-02-05 18:30:00,long,97788.51,96912.37,96952.9,0.138103,-132.5,13435.03,Buy,StopLoss,False,48.54,69.7,0.0,0.0,0.61,neutral,0.5,2.0
14,2025-02-05 22:00:00,long,97305.12,96507.99,96548.35,0.137427,-120.94,13314.09,StrongBuy,StopLoss,False,57.91,55.31,0.0,0.0,0.67,neutral,0.5,1.0
14,2025-02-06 01:30:00,long,96447.71,97085.02,95703.01,0.034349,18.9,13332.99,StrongBuy,PartialExit_25pct,True,47.0,33.91,0.0,0.0,0.67,neutral,0.5,2.5
14,2025-02-06 02:00:00,long,96447.71,97150.15,95703.01,0.103046,63.86,13396.84,StrongBuy,QuickProfit,False,47.0,39.01,0.0,0.0,0.67,neutral,0.5,3.0
14,2025-02-06 06:30:00,long,97810.4,98306.84,96678.94,0.136133,56.17,13453.01,StrongBuy,ProfitTarget,False,34.73,36.58,0.0,0.0,0.67,weak_downtrend,0.5,0.5
14,2025-02-06 10:30:00,long,98200.24,98953.77,97218.6,0.136165,91.13,13544.14,StrongBuy,QuickProfit,False,28.58,62.44,0.0,0.0,0.67,neutral,0.5,2.5
14,2025-02-06 14:30:00,short,98790.72,97823.12,99281.42,0.136274,120.4,13664.54,StrongSell,QuickProfit,False,53.33,65.65,0.0,0.0,0.67,neutral,0.5,2.5
